survey_id,line_id,station_id,survey_date,aspect,rating,comment,respondent_age_group,respondent_commute_frequency
SV0316,L043,ST0127,2024-12-16,frequency,7,Too crowded during rush hour.,18-24,occasional
SV0317,L044,ST0195,2024-11-27,information,3,Too crowded during rush hour.,65+,weekly
SV0318,L015,ST0079,2024-07-15,frequency,10,Service was on time and clean.,45-54,weekly
SV0319,L007,ST0152,2025-11-13,frequency,8,Elevator out of service again.,18-24,occasional
SV0320,L039,ST0240,2025-04-09,accessibility,3,Service was on time and clean.,25-34,occasional
SV0321,L051,ST0223,2025-12-15,crowding,4,Service was on time and clean.,65+,first_time
SV0322,L005,ST0082,2025-10-31,punctuality,8,Too crowded during rush hour.,35-44,daily
SV0323,L023,ST0039,2024-03-09,frequency,1,Too crowded during rush hour.,45-54,first_time
SV0324,L042,ST0203,2025-02-26,comfort,4,Too crowded during rush hour.,35-44,weekly
SV0325,L020,ST0036,2025-05-24,crowding,5,Service was on time and clean.,45-54,daily
SV0326,L021,ST0168,2024-10-19,frequency,5,Needs more frequent service on weekends.,25-34,first_time
SV0327,L030,ST0091,2024-10-04,accessibility,2,Very comfortable new rolling stock.,25-34,occasional
SV0328,L032,ST0230,2025-06-24,information,4,Information displays were not working.,65+,daily
SV0329,L003,ST0141,2025-02-21,frequency,1,Needs more frequent service on weekends.,25-34,occasional
SV0330,L027,ST0239,2024-09-21,punctuality,3,Elevator out of service again.,45-54,first_time
SV0331,L016,ST0040,2025-10-25,safety,8,Very comfortable new rolling stock.,18-24,first_time
SV0332,L036,ST0240,2024-10-30,safety,1,Staff was helpful and professional.,65+,weekly
SV0333,L020,ST0245,2024-11-08,comfort,2,Staff was helpful and professional.,55-64,occasional
SV0334,L024,ST0198,2025-09-03,comfort,6,Needs more frequent service on weekends.,55-64,first_time
SV0335,L015,ST0062,2024-05-07,accessibility,1,Information displays were not working.,18-24,occasional
SV0336,L005,ST0008,2024-02-03,accessibility,6,Service was on time and clean.,18-24,weekly
SV0337,L022,ST0183,2024-07-19,information,7,Service was on time and clean.,55-64,weekly
SV0338,L042,ST0043,2025-09-29,comfort,5,Elevator out of service again.,25-34,daily
SV0339,L011,ST0014,2024-11-08,accessibility,1,Information displays were not working.,45-54,daily
SV0340,L022,ST0106,2024-01-28,punctuality,8,Elevator out of service again.,65+,first_time
SV0341,L037,ST0023,2024-04-29,cleanliness,6,,45-54,occasional
SV0342,L024,ST0241,2024-10-16,information,5,Needs more frequent service on weekends.,65+,first_time
SV0343,L032,ST0153,2024-08-30,crowding,8,Very comfortable new rolling stock.,18-24,weekly
SV0344,L015,ST0152,2025-04-26,information,6,Very comfortable new rolling stock.,35-44,occasional
SV0345,L040,ST0235,2024-04-05,accessibility,3,Information displays were not working.,55-64,first_time
SV0346,L050,ST0086,2024-06-22,crowding,5,Needs more frequent service on weekends.,55-64,daily
SV0347,L043,ST0239,2025-03-22,comfort,8,Service was on time and clean.,55-64,daily
SV0348,L014,ST0009,2025-04-21,information,4,Too crowded during rush hour.,25-34,weekly
SV0349,L015,ST0015,2025-09-01,information,2,Elevator out of service again.,65+,weekly
SV0350,L047,ST0007,2024-01-30,punctuality,3,Service was on time and clean.,55-64,occasional
SV0351,L008,ST0002,2025-09-11,information,1,Elevator out of service again.,65+,weekly
SV0352,L035,ST0172,2024-03-19,safety,6,Needs more frequent service on weekends.,35-44,first_time
SV0353,L051,ST0110,2025-09-28,information,1,Information displays were not working.,18-24,daily
SV0354,L005,ST0171,2025-03-22,crowding,4,Service was on time and clean.,18-24,weekly
SV0355,L019,ST0091,2025-11-10,safety,5,Elevator out of service again.,35-44,weekly
SV0356,L036,ST0172,2024-09-19,safety,9,Needs more frequent service on weekends.,18-24,daily
SV0357,L018,ST0129,2025-10-28,safety,7,Needs more frequent service on weekends.,25-34,occasional
SV0358,L011,ST0047,2024-07-03,crowding,7,Very comfortable new rolling stock.,35-44,daily
SV0359,L044,ST0036,2025-08-19,information,2,Needs more frequent service on weekends.,18-24,daily
SV0360,L023,ST0001,2024-10-12,comfort,7,Needs more frequent service on weekends.,65+,weekly
SV0361,L054,ST0005,2024-09-10,information,9,Very comfortable new rolling stock.,65+,daily
SV0362,L053,ST0105,2024-07-28,crowding,4,Information displays were not working.,25-34,occasional
SV0363,L028,ST0025,2024-10-29,crowding,7,,45-54,first_time
SV0364,L021,ST0153,2024-09-03,cleanliness,4,Staff was helpful and professional.,35-44,daily
SV0365,L030,ST0013,2024-05-21,comfort,6,Needs more frequent service on weekends.,18-24,first_time
SV0366,L036,ST0165,2025-03-22,punctuality,9,Staff was helpful and professional.,65+,weekly
SV0367,L038,ST0238,2025-10-06,punctuality,3,Information displays were not working.,55-64,weekly
SV0368,L018,ST0042,2025-12-09,crowding,9,Service was on time and clean.,65+,weekly
SV0369,L026,ST0066,2025-07-02,crowding,6,Information displays were not working.,65+,first_time
SV0370,L013,ST0159,2025-02-09,punctuality,6,Information displays were not working.,45-54,occasional
SV0371,L030,ST0084,2024-10-31,accessibility,10,Staff was helpful and professional.,65+,daily
SV0372,L025,ST0150,2024-04-16,safety,1,Information displays were not working.,65+,weekly
SV0373,L010,ST0134,2024-01-25,cleanliness,8,Needs more frequent service on weekends.,55-64,first_time
SV0374,L035,ST0117,2024-09-05,accessibility,3,Service was on time and clean.,18-24,daily
SV0375,L006,ST0190,2025-06-05,crowding,2,Very comfortable new rolling stock.,35-44,first_time
SV0376,L032,ST0064,2025-06-01,cleanliness,9,Needs more frequent service on weekends.,45-54,daily
SV0377,L001,ST0234,2024-08-10,accessibility,6,Staff was helpful and professional.,35-44,weekly
SV0378,L028,ST0152,2024-09-30,frequency,1,Service was on time and clean.,45-54,weekly
SV0379,L050,ST0160,2024-12-22,cleanliness,1,Information displays were not working.,25-34,weekly
SV0380,L001,ST0055,2024-01-04,information,2,Information displays were not working.,25-34,occasional
SV0381,L055,ST0186,2024-03-18,cleanliness,7,Information displays were not working.,18-24,daily
SV0382,L048,ST0014,2024-01-28,cleanliness,9,,65+,daily
SV0383,L007,ST0242,2024-02-21,safety,3,Staff was helpful and professional.,65+,occasional
SV0384,L055,ST0069,2025-09-24,punctuality,2,,35-44,occasional
SV0385,L055,ST0069,2024-07-23,frequency,6,Service was on time and clean.,18-24,occasional
SV0386,L017,ST0205,2025-02-11,comfort,7,Too crowded during rush hour.,45-54,first_time
SV0387,L040,ST0016,2024-01-15,safety,6,Service was on time and clean.,65+,weekly
SV0388,L036,ST0162,2024-12-20,information,3,Information displays were not working.,65+,weekly
SV0389,L026,ST0022,2025-09-07,punctuality,9,Service was on time and clean.,65+,daily
SV0390,L032,ST0010,2025-11-07,crowding,7,Service was on time and clean.,45-54,first_time
SV0391,L004,ST0074,2024-03-19,accessibility,5,,35-44,daily
SV0392,L043,ST0173,2024-03-14,comfort,1,Elevator out of service again.,65+,occasional
SV0393,L024,ST0177,2024-02-29,information,3,Staff was helpful and professional.,45-54,weekly
SV0394,L049,ST0122,2024-07-08,safety,5,Elevator out of service again.,45-54,occasional
SV0395,L039,ST0201,2025-06-28,cleanliness,5,Needs more frequent service on weekends.,45-54,occasional
SV0396,L024,ST0131,2025-06-18,information,8,Too crowded during rush hour.,18-24,occasional
SV0397,L009,ST0029,2024-01-30,crowding,7,Needs more frequent service on weekends.,65+,weekly
SV0398,L038,ST0053,2025-09-23,punctuality,10,Elevator out of service again.,65+,first_time
SV0399,L032,ST0152,2024-10-15,accessibility,1,Too crowded during rush hour.,35-44,first_time
SV0400,L005,ST0075,2024-01-14,crowding,1,Elevator out of service again.,25-34,first_time
