meter_id,contract_id,meter_serial,meter_type,energy_type,installation_date,last_inspection_date,location,status
MTR000298,CON00042,SN56752592,diaphragm,gas,2020-05-04,2025-09-10,indoor,replaced
MTR000299,CON00151,SN91493489,smart_meter,electricity,2022-12-26,2022-10-21,indoor,inactive
MTR000300,CON00255,SN21689007,diaphragm,gas,2024-05-02,2025-10-10,garage,inactive
MTR000301,CON00229,SN74715566,prepaid,electricity,2021-01-23,2023-05-09,outdoor,inactive
MTR000302,CON00088,SN98549488,prepaid,electricity,2016-01-02,2022-08-05,garage,active
MTR000303,CON00083,SN53822194,traditional,electricity,2023-08-05,2023-07-29,outdoor,faulty
MTR000304,CON00244,SN26521948,prepaid,electricity,2016-07-10,2024-12-30,garage,active
MTR000305,CON00171,SN87305664,prepaid,electricity,2015-09-22,2025-08-11,basement,replaced
MTR000306,CON00196,SN97767609,rotary,gas,2023-10-21,2025-02-24,garage,inactive
MTR000307,CON00115,SN25527644,diaphragm,gas,2015-12-26,2022-08-17,indoor,faulty
MTR000308,CON00097,SN25583513,rotary,gas,2019-02-15,2022-09-18,basement,replaced
MTR000309,CON00296,SN10225283,traditional,electricity,2015-09-11,2025-04-23,outdoor,replaced
MTR000310,CON00217,SN52901755,diaphragm,gas,2023-12-11,2025-10-23,outdoor,inactive
MTR000311,CON00055,SN11233262,rotary,gas,2024-07-23,2024-08-01,basement,inactive
MTR000312,CON00152,SN77086404,prepaid,electricity,2020-02-10,2022-10-29,basement,inactive
MTR000313,CON00018,SN90380354,diaphragm,gas,2018-06-19,2024-10-25,indoor,faulty
MTR000314,CON00294,SN94701730,smart_meter,gas,2020-07-20,2023-08-20,garage,active
MTR000315,CON00171,SN38268009,prepaid,electricity,2024-02-02,2023-04-06,indoor,inactive
MTR000316,CON00250,SN50144760,rotary,gas,2024-07-07,2022-11-23,indoor,replaced
MTR000317,CON00173,SN66698597,rotary,gas,2020-04-23,2023-12-15,garage,replaced
MTR000318,CON00037,SN80846080,prepaid,electricity,2018-03-05,2023-08-02,outdoor,replaced
MTR000319,CON00050,SN27569192,diaphragm,gas,2023-06-09,2025-04-03,indoor,faulty
MTR000320,CON00235,SN87464756,smart_meter,electricity,2019-12-15,2025-11-26,garage,faulty
MTR000321,CON00075,SN38154362,smart_meter,gas,2024-01-08,2023-02-05,indoor,faulty
MTR000322,CON00295,SN23683207,rotary,gas,2023-10-23,2022-10-30,garage,replaced
MTR000323,CON00087,SN17560687,smart_meter,gas,2018-12-27,2024-08-28,outdoor,active
MTR000324,CON00061,SN89643778,diaphragm,gas,2016-08-31,2025-07-08,garage,inactive
MTR000325,CON00018,SN25945407,smart_meter,gas,2019-06-13,2024-09-27,basement,inactive
MTR000326,CON00193,SN98384904,smart_meter,electricity,2023-09-21,2024-08-07,garage,faulty
MTR000327,CON00228,SN11557250,smart_meter,gas,2016-04-22,2022-06-19,indoor,replaced
MTR000328,CON00261,SN13090599,prepaid,electricity,2021-06-04,2025-03-18,garage,faulty
MTR000329,CON00049,SN89574873,smart_meter,electricity,2019-04-22,2024-09-18,garage,faulty
MTR000330,CON00293,SN26808950,smart_meter,gas,2018-08-25,2022-05-11,outdoor,replaced
MTR000331,CON00011,SN84633131,rotary,gas,2023-10-15,2024-12-21,garage,active
MTR000332,CON00266,SN37845315,prepaid,electricity,2016-04-25,2023-01-06,outdoor,active
MTR000333,CON00285,SN70026580,diaphragm,gas,2016-05-18,2022-03-22,outdoor,inactive
MTR000334,CON00083,SN21787125,prepaid,electricity,2017-11-17,2022-03-13,indoor,active
MTR000335,CON00260,SN50074450,diaphragm,gas,2021-02-07,2022-12-18,garage,active
MTR000336,CON00128,SN50345846,smart_meter,electricity,2020-10-28,2023-08-24,garage,inactive
MTR000337,CON00296,SN75826121,prepaid,electricity,2018-07-05,2024-12-06,basement,inactive
MTR000338,CON00051,SN41823071,smart_meter,electricity,2017-02-09,2022-10-18,basement,inactive
MTR000339,CON00069,SN89427788,traditional,electricity,2018-02-10,2022-09-21,garage,active
MTR000340,CON00282,SN44987131,diaphragm,gas,2022-04-15,2022-12-01,garage,replaced
MTR000341,CON00043,SN67088619,rotary,gas,2016-08-09,2025-01-02,outdoor,active
MTR000342,CON00138,SN94975906,prepaid,electricity,2022-03-29,2023-01-30,basement,inactive
MTR000343,CON00215,SN52461165,traditional,electricity,2019-04-02,2022-02-23,outdoor,active
MTR000344,CON00139,SN26726377,prepaid,electricity,2016-03-26,2025-11-01,garage,active
MTR000345,CON00169,SN58696806,traditional,electricity,2023-09-22,2023-07-14,outdoor,inactive
MTR000346,CON00141,SN11323834,smart_meter,gas,2019-03-25,2023-04-01,garage,active
MTR000347,CON00064,SN80662368,prepaid,electricity,2024-10-26,2023-09-20,garage,active
MTR000348,CON00271,SN56828593,prepaid,electricity,2021-06-01,2023-08-01,basement,active
MTR000349,CON00025,SN52680752,traditional,electricity,2017-01-10,2023-12-08,garage,replaced
MTR000350,CON00066,SN11274728,rotary,gas,2020-10-04,2025-12-31,outdoor,inactive
MTR000351,CON00074,SN60841764,prepaid,electricity,2023-04-01,2023-07-02,indoor,faulty
MTR000352,CON00128,SN91698732,traditional,electricity,2022-12-04,2024-07-26,outdoor,replaced
MTR000353,CON00182,SN77408068,diaphragm,gas,2018-02-03,2024-05-26,outdoor,faulty
MTR000354,CON00045,SN51025192,traditional,electricity,2023-08-23,2023-10-03,indoor,active
MTR000355,CON00040,SN42217185,smart_meter,electricity,2016-11-07,2025-03-24,indoor,active
MTR000356,CON00147,SN84378065,traditional,electricity,2024-01-24,2022-01-22,garage,inactive
MTR000357,CON00246,SN79123671,rotary,gas,2022-08-04,2024-12-26,indoor,replaced
MTR000358,CON00008,SN92716588,smart_meter,gas,2024-04-28,2022-01-15,garage,faulty
MTR000359,CON00126,SN91520297,traditional,electricity,2016-11-21,2025-10-13,outdoor,inactive
MTR000360,CON00039,SN59264742,smart_meter,gas,2020-10-05,2023-12-25,indoor,replaced
MTR000361,CON00254,SN32881970,diaphragm,gas,2016-04-08,2023-11-24,outdoor,active
MTR000362,CON00149,SN74843897,diaphragm,gas,2017-12-20,2023-03-13,indoor,replaced
MTR000363,CON00112,SN96298460,rotary,gas,2024-04-05,2022-03-14,garage,replaced
MTR000364,CON00030,SN57747160,smart_meter,gas,2021-11-26,2024-07-31,basement,faulty
MTR000365,CON00182,SN10691813,traditional,electricity,2024-12-25,2023-01-17,garage,faulty
MTR000366,CON00005,SN23601326,diaphragm,gas,2020-07-08,2023-02-09,indoor,inactive
MTR000367,CON00211,SN26621878,traditional,electricity,2015-01-29,2022-11-15,basement,inactive
MTR000368,CON00241,SN60238966,diaphragm,gas,2019-02-01,2024-05-27,outdoor,faulty
MTR000369,CON00056,SN68864146,prepaid,electricity,2024-05-31,2024-06-18,outdoor,inactive
MTR000370,CON00182,SN10779834,diaphragm,gas,2024-11-28,2025-12-23,outdoor,active
MTR000371,CON00098,SN15403110,smart_meter,gas,2019-06-05,2024-05-12,basement,active
MTR000372,CON00083,SN99416497,smart_meter,electricity,2020-05-17,2025-09-24,basement,active
MTR000373,CON00216,SN83836349,diaphragm,gas,2023-12-21,2025-10-28,outdoor,faulty
MTR000374,CON00205,SN77358318,rotary,gas,2023-04-27,2024-03-07,outdoor,active
MTR000375,CON00056,SN12839001,smart_meter,electricity,2016-09-29,2023-12-06,indoor,inactive
MTR000376,CON00027,SN67668666,rotary,gas,2023-04-09,2022-01-17,garage,replaced
MTR000377,CON00149,SN75220319,smart_meter,gas,2023-07-14,2024-05-28,outdoor,inactive
MTR000378,CON00262,SN43482865,traditional,electricity,2023-08-07,2022-08-24,basement,inactive
MTR000379,CON00220,SN73604818,prepaid,electricity,2023-10-12,2022-07-31,outdoor,inactive
MTR000380,CON00077,SN40787425,smart_meter,electricity,2016-06-25,2024-04-01,indoor,faulty
MTR000381,CON00099,SN29623857,diaphragm,gas,2015-03-14,2025-06-16,outdoor,active
MTR000382,CON00027,SN64666503,rotary,gas,2018-06-09,2025-12-04,outdoor,inactive
MTR000383,CON00173,SN67186933,diaphragm,gas,2015-09-09,2024-11-10,garage,active
MTR000384,CON00156,SN46137598,traditional,electricity,2018-02-23,2023-12-20,garage,inactive
MTR000385,CON00164,SN16382911,smart_meter,electricity,2015-06-17,2022-01-02,indoor,faulty
MTR000386,CON00109,SN48294595,traditional,electricity,2018-02-21,2025-05-27,indoor,replaced
MTR000387,CON00095,SN43858172,diaphragm,gas,2019-01-29,2023-11-16,basement,active
MTR000388,CON00050,SN99784619,smart_meter,gas,2022-08-29,2025-02-04,outdoor,faulty
MTR000389,CON00185,SN89042306,rotary,gas,2021-10-12,2024-02-01,outdoor,faulty
MTR000390,CON00108,SN21707969,smart_meter,gas,2016-06-18,2025-07-13,indoor,active
MTR000391,CON00098,SN69830209,smart_meter,electricity,2015-11-03,2025-01-24,basement,faulty
MTR000392,CON00243,SN81612882,prepaid,electricity,2016-09-21,2022-03-31,outdoor,inactive
MTR000393,CON00215,SN85208373,diaphragm,gas,2019-02-08,2024-07-07,indoor,replaced
MTR000394,CON00035,SN66237786,rotary,gas,2020-08-25,2022-02-14,outdoor,faulty
MTR000395,CON00067,SN48877018,smart_meter,gas,2021-05-08,2022-05-05,outdoor,replaced
MTR000396,CON00254,SN32215479,traditional,electricity,2023-06-02,2024-11-09,garage,replaced
MTR000397,CON00206,SN91499471,diaphragm,gas,2017-04-27,2023-01-12,indoor,inactive
MTR000398,CON00293,SN39233657,rotary,gas,2022-10-24,2022-01-19,garage,faulty
MTR000399,CON00156,SN49777260,prepaid,electricity,2018-01-04,2025-02-04,indoor,inactive
MTR000400,CON00115,SN81613988,smart_meter,electricity,2018-04-10,2022-03-22,outdoor,faulty
