shipment_id,po_id,warehouse_id,ship_date,carrier,tracking_number,status,estimated_arrival
SHP000302,PO00296,WH007,2023-02-28,XPO Logistics,TRK278654244,in_transit,2023-03-08
SHP000303,PO00306,WH009,2024-02-11,Maersk,TRK239469212,exception,2024-03-03
SHP000304,PO00171,WH001,2023-07-05,Maersk,TRK960592930,in_transit,2023-07-17
SHP000305,PO00235,WH007,2023-12-05,FedEx,TRK807175601,picked_up,2023-12-22
SHP000306,PO00103,WH003,2024-09-09,DHL,TRK298205935,picked_up,2024-09-21
SHP000307,PO00105,WH007,2023-07-04,Maersk,TRK835205605,delayed,2023-07-14
SHP000308,PO00398,WH006,2023-01-11,Maersk,TRK470131551,pending,2023-01-29
SHP000309,PO00242,WH009,2025-03-18,DB Schenker,TRK817728605,delivered,2025-03-27
SHP000310,PO00238,WH004,2023-07-16,Maersk,TRK441832901,picked_up,2023-07-31
SHP000311,PO00205,WH006,2024-08-02,CEVA,TRK522893604,delayed,2024-08-18
SHP000312,PO00037,WH006,2025-09-27,FedEx,TRK338042160,delayed,2025-10-18
SHP000313,PO00092,WH004,2025-01-25,MSC,TRK638434202,pending,2025-02-08
SHP000314,PO00313,WH010,2025-03-26,UPS,TRK248262160,delivered,2025-03-31
SHP000315,PO00097,WH001,2024-03-08,Kuehne+Nagel,TRK199697311,in_transit,2024-03-20
SHP000316,PO00197,WH003,2025-05-21,CMA CGM,TRK434032573,delivered,2025-05-28
SHP000317,PO00346,WH008,2023-03-13,Kuehne+Nagel,TRK292755937,picked_up,2023-03-24
SHP000318,PO00204,WH009,2023-08-06,DHL,TRK471822692,exception,2023-08-23
SHP000319,PO00376,WH002,2025-04-08,Maersk,TRK442551325,picked_up,2025-04-11
SHP000320,PO00295,WH009,2025-02-25,FedEx,TRK621988185,exception,2025-03-14
SHP000321,PO00344,WH007,2025-05-15,CMA CGM,TRK556320088,in_transit,2025-05-19
SHP000322,PO00380,WH002,2025-07-11,MSC,TRK938596152,delivered,2025-07-30
SHP000323,PO00365,WH006,2025-12-31,DHL,TRK943418541,picked_up,2026-01-14
SHP000324,PO00218,WH009,2025-02-24,Maersk,TRK107469730,in_transit,2025-03-01
SHP000325,PO00363,WH010,2024-06-12,XPO Logistics,TRK972775048,delayed,2024-06-21
SHP000326,PO00373,WH008,2025-06-09,DB Schenker,TRK402488060,pending,2025-06-13
SHP000327,PO00063,WH008,2025-07-31,FedEx,TRK743523776,exception,2025-08-14
SHP000328,PO00190,WH005,2025-05-21,CMA CGM,TRK923381466,pending,2025-06-03
SHP000329,PO00278,WH005,2024-01-02,MSC,TRK547815017,pending,2024-01-14
SHP000330,PO00229,WH006,2024-09-01,CEVA,TRK219919013,in_transit,2024-09-05
SHP000331,PO00375,WH001,2025-12-24,UPS,TRK288155696,pending,2026-01-08
SHP000332,PO00274,WH002,2023-09-16,DB Schenker,TRK562890681,in_transit,2023-09-23
SHP000333,PO00177,WH008,2024-05-14,CEVA,TRK592224271,pending,2024-06-02
SHP000334,PO00040,WH006,2025-02-02,Maersk,TRK754288322,exception,2025-02-06
SHP000335,PO00327,WH002,2025-02-21,DHL,TRK462680716,exception,2025-03-12
SHP000336,PO00384,WH005,2025-05-15,FedEx,TRK297493711,exception,2025-05-30
SHP000337,PO00132,WH002,2025-06-06,UPS,TRK712993971,in_transit,2025-06-12
SHP000338,PO00156,WH010,2025-11-18,UPS,TRK845452922,pending,2025-12-08
SHP000339,PO00192,WH010,2025-08-26,Kuehne+Nagel,TRK395050028,exception,2025-09-04
SHP000340,PO00353,WH003,2024-07-20,FedEx,TRK749208541,delivered,2024-08-08
SHP000341,PO00093,WH005,2024-07-12,Kuehne+Nagel,TRK322410957,pending,2024-07-15
SHP000342,PO00213,WH003,2024-07-16,DB Schenker,TRK743256662,exception,2024-07-27
SHP000343,PO00163,WH002,2024-03-29,FedEx,TRK861292088,in_transit,2024-04-08
SHP000344,PO00114,WH002,2024-08-12,CEVA,TRK551792747,exception,2024-08-29
SHP000345,PO00305,WH006,2025-03-07,XPO Logistics,TRK113493954,in_transit,2025-03-25
SHP000346,PO00175,WH006,2024-12-10,Maersk,TRK596012400,exception,2024-12-27
SHP000347,PO00256,WH004,2025-12-26,Kuehne+Nagel,TRK374547837,delivered,2026-01-03
SHP000348,PO00017,WH010,2023-06-10,XPO Logistics,TRK470762184,pending,2023-06-28
SHP000349,PO00107,WH009,2025-01-26,CMA CGM,TRK906227124,in_transit,2025-02-07
SHP000350,PO00232,WH008,2023-03-02,CEVA,TRK728071202,picked_up,2023-03-09
SHP000351,PO00320,WH006,2025-06-02,FedEx,TRK906797157,in_transit,2025-06-18
SHP000352,PO00285,WH008,2024-04-25,XPO Logistics,TRK241408993,delivered,2024-05-10
SHP000353,PO00311,WH002,2023-07-18,UPS,TRK326887199,pending,2023-08-02
SHP000354,PO00293,WH005,2024-01-01,Kuehne+Nagel,TRK690633547,delivered,2024-01-09
SHP000355,PO00181,WH004,2025-05-06,MSC,TRK927317727,in_transit,2025-05-17
SHP000356,PO00323,WH002,2024-10-12,XPO Logistics,TRK671776543,delivered,2024-10-31
SHP000357,PO00116,WH007,2025-10-10,CMA CGM,TRK987059388,delivered,2025-10-27
SHP000358,PO00081,WH003,2025-03-30,FedEx,TRK671945444,in_transit,2025-04-11
SHP000359,PO00391,WH008,2023-12-19,Kuehne+Nagel,TRK722939720,exception,2023-12-25
SHP000360,PO00215,WH007,2025-04-20,FedEx,TRK764513013,picked_up,2025-04-29
SHP000361,PO00071,WH010,2025-10-27,CEVA,TRK712660659,exception,2025-11-01
SHP000362,PO00210,WH001,2024-10-27,Maersk,TRK711287818,exception,2024-11-06
SHP000363,PO00242,WH002,2025-01-28,CEVA,TRK948127045,exception,2025-01-31
SHP000364,PO00200,WH009,2025-11-13,Maersk,TRK591525614,in_transit,2025-11-22
SHP000365,PO00371,WH004,2023-12-25,UPS,TRK446522472,picked_up,2024-01-12
SHP000366,PO00151,WH002,2023-03-05,CEVA,TRK595187813,delivered,2023-03-14
SHP000367,PO00126,WH010,2025-06-27,Maersk,TRK595431160,delayed,2025-07-07
SHP000368,PO00329,WH002,2024-11-09,UPS,TRK596296602,exception,2024-11-17
SHP000369,PO00036,WH001,2023-03-08,XPO Logistics,TRK604883307,delivered,2023-03-24
SHP000370,PO00037,WH007,2024-06-16,DHL,TRK868578864,delayed,2024-07-06
SHP000371,PO00332,WH009,2023-02-18,DB Schenker,TRK988793910,exception,2023-03-07
SHP000372,PO00031,WH005,2025-03-26,MSC,TRK528884094,exception,2025-03-30
SHP000373,PO00262,WH008,2025-05-27,DHL,TRK256748846,in_transit,2025-06-02
SHP000374,PO00389,WH010,2023-08-17,MSC,TRK543340540,exception,2023-08-25
SHP000375,PO00174,WH003,2024-05-12,UPS,TRK384012987,pending,2024-05-30
SHP000376,PO00169,WH002,2025-07-27,UPS,TRK912801709,in_transit,2025-08-14
SHP000377,PO00176,WH005,2025-06-29,DB Schenker,TRK851148628,in_transit,2025-07-12
SHP000378,PO00291,WH005,2023-03-15,Maersk,TRK660256254,in_transit,2023-03-22
SHP000379,PO00014,WH004,2025-01-29,MSC,TRK866440278,in_transit,2025-02-19
SHP000380,PO00158,WH003,2024-09-16,DB Schenker,TRK822927518,in_transit,2024-10-04
SHP000381,PO00080,WH003,2023-10-28,Kuehne+Nagel,TRK376279955,exception,2023-11-09
SHP000382,PO00117,WH001,2024-03-09,CMA CGM,TRK259303944,delayed,2024-03-30
SHP000383,PO00007,WH005,2025-01-15,XPO Logistics,TRK535772358,delivered,2025-02-03
SHP000384,PO00317,WH003,2024-12-05,CEVA,TRK638046968,in_transit,2024-12-12
SHP000385,PO00268,WH006,2025-02-13,Maersk,TRK663968796,delivered,2025-03-03
SHP000386,PO00090,WH008,2025-02-16,DHL,TRK467613766,picked_up,2025-02-19
SHP000387,PO00159,WH004,2024-04-04,CMA CGM,TRK753523546,exception,2024-04-11
SHP000388,PO00062,WH004,2024-12-31,DB Schenker,TRK711397169,exception,2025-01-18
SHP000389,PO00007,WH009,2024-04-12,MSC,TRK813226657,pending,2024-04-21
SHP000390,PO00205,WH002,2024-11-05,DHL,TRK391492513,delayed,2024-11-24
SHP000391,PO00274,WH009,2023-06-12,DB Schenker,TRK708491814,delayed,2023-06-16
SHP000392,PO00127,WH004,2024-06-08,UPS,TRK345178129,exception,2024-06-16
SHP000393,PO00368,WH008,2023-12-30,CEVA,TRK385361208,delayed,2024-01-03
SHP000394,PO00143,WH002,2024-01-25,Maersk,TRK661092057,in_transit,2024-01-30
SHP000395,PO00032,WH004,2024-04-11,CEVA,TRK917848203,delayed,2024-04-21
SHP000396,PO00245,WH008,2023-07-21,FedEx,TRK442371535,exception,2023-08-10
SHP000397,PO00038,WH004,2025-09-06,DB Schenker,TRK189535259,delivered,2025-09-12
SHP000398,PO00102,WH002,2024-03-16,CMA CGM,TRK711312655,pending,2024-04-03
SHP000399,PO00298,WH007,2023-08-17,UPS,TRK732366865,exception,2023-09-03
SHP000400,PO00315,WH008,2023-01-02,Kuehne+Nagel,TRK745699103,in_transit,2023-01-13
SHP000401,PO00253,WH003,2024-11-04,DB Schenker,TRK652118299,in_transit,2024-11-23
SHP000402,PO00331,WH005,2024-06-25,UPS,TRK466298739,in_transit,2024-07-15
SHP000403,PO00348,WH009,2025-10-27,DB Schenker,TRK219690062,picked_up,2025-11-08
SHP000404,PO00250,WH001,2024-10-15,DB Schenker,TRK632348238,picked_up,2024-11-03
SHP000405,PO00092,WH002,2025-06-03,DHL,TRK575880586,in_transit,2025-06-15
SHP000406,PO00327,WH009,2024-01-10,DHL,TRK919106793,picked_up,2024-01-19
SHP000407,PO00110,WH005,2025-10-24,MSC,TRK922937760,delayed,2025-11-05
SHP000408,PO00242,WH002,2024-09-06,CEVA,TRK821433431,picked_up,2024-09-15
SHP000409,PO00166,WH003,2024-01-29,Maersk,TRK269590180,delayed,2024-02-13
SHP000410,PO00340,WH003,2024-10-28,DB Schenker,TRK801680220,delayed,2024-11-16
SHP000411,PO00214,WH005,2024-04-13,DB Schenker,TRK995972094,in_transit,2024-04-24
SHP000412,PO00190,WH003,2024-09-19,MSC,TRK990380314,exception,2024-10-02
SHP000413,PO00162,WH008,2024-09-22,CEVA,TRK522562723,delivered,2024-10-08
SHP000414,PO00003,WH007,2023-04-24,MSC,TRK793414641,picked_up,2023-05-10
SHP000415,PO00234,WH005,2023-02-09,UPS,TRK810875738,exception,2023-02-18
SHP000416,PO00132,WH005,2025-02-03,MSC,TRK559022854,delivered,2025-02-06
SHP000417,PO00167,WH009,2024-02-13,CEVA,TRK640031385,delivered,2024-02-22
SHP000418,PO00141,WH002,2023-06-02,Maersk,TRK449484749,exception,2023-06-12
SHP000419,PO00246,WH010,2025-08-20,Kuehne+Nagel,TRK838520660,exception,2025-08-24
SHP000420,PO00250,WH004,2024-07-27,Kuehne+Nagel,TRK163690958,pending,2024-08-17
SHP000421,PO00029,WH006,2024-07-19,MSC,TRK570432459,in_transit,2024-08-08
SHP000422,PO00057,WH008,2023-10-03,MSC,TRK932410732,exception,2023-10-08
SHP000423,PO00212,WH003,2023-11-05,CMA CGM,TRK716422428,picked_up,2023-11-26
SHP000424,PO00288,WH002,2025-06-16,MSC,TRK714967553,delayed,2025-06-26
SHP000425,PO00391,WH005,2025-12-23,FedEx,TRK250825897,pending,2026-01-04
SHP000426,PO00359,WH006,2025-01-09,UPS,TRK297718851,in_transit,2025-01-26
SHP000427,PO00240,WH004,2025-08-01,MSC,TRK313658711,exception,2025-08-15
SHP000428,PO00361,WH005,2024-06-06,Maersk,TRK227979759,exception,2024-06-09
SHP000429,PO00211,WH007,2025-03-22,FedEx,TRK993003636,delayed,2025-04-09
SHP000430,PO00031,WH009,2025-02-03,CEVA,TRK569447344,pending,2025-02-06
SHP000431,PO00259,WH006,2025-10-04,CEVA,TRK458364095,exception,2025-10-16
SHP000432,PO00035,WH002,2023-07-08,DHL,TRK670975568,picked_up,2023-07-28
SHP000433,PO00263,WH002,2025-08-17,DHL,TRK923683760,exception,2025-08-26
SHP000434,PO00221,WH005,2025-08-11,Maersk,TRK798408604,in_transit,2025-08-28
SHP000435,PO00038,WH003,2024-11-26,XPO Logistics,TRK938713602,exception,2024-12-13
SHP000436,PO00379,WH007,2023-02-13,CEVA,TRK415480159,pending,2023-02-28
SHP000437,PO00320,WH007,2023-02-08,UPS,TRK446157515,delivered,2023-02-11
SHP000438,PO00078,WH005,2024-04-01,MSC,TRK671621787,delivered,2024-04-22
SHP000439,PO00335,WH004,2024-12-27,Maersk,TRK302773320,picked_up,2025-01-17
SHP000440,PO00106,WH005,2024-01-07,FedEx,TRK672757561,delayed,2024-01-13
SHP000441,PO00021,WH003,2024-12-14,MSC,TRK438589714,picked_up,2024-12-19
SHP000442,PO00337,WH004,2024-02-18,Maersk,TRK555571081,in_transit,2024-03-01
SHP000443,PO00120,WH004,2024-12-28,Maersk,TRK572060870,pending,2024-12-31
SHP000444,PO00193,WH001,2025-06-28,Kuehne+Nagel,TRK152843440,delivered,2025-07-07
SHP000445,PO00225,WH007,2024-02-11,Kuehne+Nagel,TRK733740880,pending,2024-02-20
SHP000446,PO00048,WH003,2025-11-03,XPO Logistics,TRK230678411,picked_up,2025-11-24
SHP000447,PO00388,WH004,2023-09-04,CEVA,TRK484818710,exception,2023-09-22
SHP000448,PO00163,WH007,2024-01-27,DHL,TRK958769279,delayed,2024-02-05
SHP000449,PO00185,WH008,2024-06-06,DHL,TRK590650359,pending,2024-06-25
SHP000450,PO00004,WH007,2025-05-10,DHL,TRK480835931,in_transit,2025-05-25
SHP000451,PO00159,WH002,2025-06-08,UPS,TRK852922731,pending,2025-06-20
SHP000452,PO00334,WH007,2025-08-23,CMA CGM,TRK883433291,exception,2025-08-26
SHP000453,PO00166,WH001,2023-10-16,Maersk,TRK706212352,pending,2023-10-26
SHP000454,PO00066,WH009,2023-11-15,DB Schenker,TRK918500336,pending,2023-11-22
SHP000455,PO00032,WH010,2024-03-05,MSC,TRK763094664,delivered,2024-03-17
SHP000456,PO00081,WH007,2023-12-20,XPO Logistics,TRK262543572,exception,2023-12-28
SHP000457,PO00343,WH003,2025-01-17,Maersk,TRK132190917,delivered,2025-01-23
SHP000458,PO00105,WH005,2025-04-06,CMA CGM,TRK767774608,in_transit,2025-04-20
SHP000459,PO00015,WH001,2024-11-10,DB Schenker,TRK136746419,exception,2024-11-13
SHP000460,PO00074,WH007,2023-04-06,Kuehne+Nagel,TRK918730606,delayed,2023-04-26
SHP000461,PO00370,WH009,2023-12-14,DHL,TRK116040051,in_transit,2023-12-22
SHP000462,PO00115,WH002,2025-05-09,DHL,TRK610767573,delivered,2025-05-14
SHP000463,PO00213,WH009,2025-06-20,CEVA,TRK969113606,exception,2025-06-27
SHP000464,PO00001,WH005,2025-09-02,CMA CGM,TRK237652208,in_transit,2025-09-20
SHP000465,PO00337,WH009,2025-01-18,DB Schenker,TRK629141800,exception,2025-01-24
SHP000466,PO00293,WH004,2023-09-15,XPO Logistics,TRK239379856,picked_up,2023-09-25
SHP000467,PO00116,WH002,2023-07-14,CMA CGM,TRK760366848,pending,2023-07-29
SHP000468,PO00128,WH004,2024-05-28,CMA CGM,TRK452859218,exception,2024-06-05
SHP000469,PO00237,WH010,2025-11-30,CEVA,TRK386394724,picked_up,2025-12-19
SHP000470,PO00168,WH007,2025-02-06,CEVA,TRK890714563,pending,2025-02-13
SHP000471,PO00383,WH007,2023-04-09,Maersk,TRK115377844,picked_up,2023-04-18
SHP000472,PO00325,WH001,2024-05-02,Kuehne+Nagel,TRK446316507,pending,2024-05-10
SHP000473,PO00293,WH008,2025-09-17,UPS,TRK775075356,delayed,2025-10-01
SHP000474,PO00208,WH008,2024-03-15,CEVA,TRK382184330,delayed,2024-04-01
SHP000475,PO00226,WH002,2024-07-26,MSC,TRK462124359,picked_up,2024-08-14
SHP000476,PO00131,WH006,2025-09-25,DB Schenker,TRK812157199,pending,2025-10-15
SHP000477,PO00343,WH006,2025-11-29,DHL,TRK939617000,in_transit,2025-12-10
SHP000478,PO00219,WH001,2023-09-16,UPS,TRK591165414,pending,2023-09-22
SHP000479,PO00062,WH009,2024-08-28,MSC,TRK429671389,delivered,2024-09-04
SHP000480,PO00224,WH009,2023-06-19,Maersk,TRK526874753,delayed,2023-07-08
SHP000481,PO00100,WH003,2024-03-30,UPS,TRK887495483,exception,2024-04-02
SHP000482,PO00182,WH009,2023-11-07,XPO Logistics,TRK663763020,pending,2023-11-28
SHP000483,PO00273,WH006,2024-04-16,Maersk,TRK502086382,picked_up,2024-05-05
SHP000484,PO00052,WH003,2024-04-08,XPO Logistics,TRK754623401,delivered,2024-04-15
SHP000485,PO00104,WH005,2023-04-11,CMA CGM,TRK518514926,delayed,2023-04-26
SHP000486,PO00216,WH008,2025-08-16,Maersk,TRK874755886,in_transit,2025-08-29
SHP000487,PO00001,WH002,2024-05-29,CMA CGM,TRK324148755,exception,2024-06-18
SHP000488,PO00314,WH010,2023-05-17,Kuehne+Nagel,TRK250649491,picked_up,2023-05-21
SHP000489,PO00247,WH003,2024-05-11,Maersk,TRK793728080,delivered,2024-05-26
SHP000490,PO00201,WH010,2024-02-01,MSC,TRK175732768,picked_up,2024-02-11
SHP000491,PO00142,WH003,2025-04-02,CEVA,TRK821895231,picked_up,2025-04-08
SHP000492,PO00106,WH008,2023-10-19,MSC,TRK111563162,exception,2023-10-30
SHP000493,PO00061,WH009,2024-09-29,DHL,TRK928561496,exception,2024-10-18
SHP000494,PO00307,WH008,2024-04-20,CMA CGM,TRK982873873,pending,2024-05-07
SHP000495,PO00278,WH010,2025-07-19,DHL,TRK909870047,exception,2025-07-26
SHP000496,PO00175,WH005,2023-03-25,CMA CGM,TRK221158422,exception,2023-04-09
SHP000497,PO00239,WH007,2023-12-11,CMA CGM,TRK341198293,delayed,2023-12-29
SHP000498,PO00053,WH002,2025-01-12,DB Schenker,TRK998409575,exception,2025-01-22
SHP000499,PO00222,WH007,2023-04-27,CMA CGM,TRK877445311,exception,2023-05-03
SHP000500,PO00142,WH005,2025-11-06,Kuehne+Nagel,TRK816162690,in_transit,2025-11-19
SHP000501,PO00183,WH002,2023-01-27,DB Schenker,TRK360644618,delayed,2023-02-02
SHP000502,PO00254,WH004,2025-06-07,DHL,TRK938508532,exception,2025-06-18
SHP000503,PO00250,WH009,2025-02-08,Kuehne+Nagel,TRK145205850,delayed,2025-02-27
SHP000504,PO00056,WH010,2023-07-21,DHL,TRK226136059,picked_up,2023-08-11
SHP000505,PO00185,WH010,2025-05-13,FedEx,TRK472915318,exception,2025-05-28
SHP000506,PO00226,WH008,2025-12-06,Kuehne+Nagel,TRK973124622,exception,2025-12-10
SHP000507,PO00382,WH007,2023-02-22,CEVA,TRK294065618,pending,2023-03-03
SHP000508,PO00323,WH006,2023-07-22,Kuehne+Nagel,TRK961028466,pending,2023-08-03
SHP000509,PO00374,WH008,2024-06-03,MSC,TRK478363473,picked_up,2024-06-17
SHP000510,PO00142,WH008,2023-04-08,DB Schenker,TRK850657658,exception,2023-04-21
SHP000511,PO00135,WH003,2024-03-04,XPO Logistics,TRK796092768,in_transit,2024-03-24
SHP000512,PO00380,WH007,2024-12-14,DB Schenker,TRK195422848,in_transit,2024-12-22
SHP000513,PO00181,WH010,2024-04-11,CMA CGM,TRK208768073,exception,2024-04-24
SHP000514,PO00047,WH007,2024-10-02,Maersk,TRK912354926,delivered,2024-10-20
SHP000515,PO00104,WH005,2025-09-21,MSC,TRK965325849,delivered,2025-10-05
SHP000516,PO00186,WH003,2023-12-12,FedEx,TRK219701391,picked_up,2023-12-25
SHP000517,PO00298,WH005,2025-11-02,CMA CGM,TRK912576217,delayed,2025-11-22
SHP000518,PO00276,WH003,2025-03-26,UPS,TRK200248486,pending,2025-03-31
SHP000519,PO00365,WH010,2025-04-08,Maersk,TRK868678998,in_transit,2025-04-19
SHP000520,PO00273,WH006,2025-03-23,Kuehne+Nagel,TRK211267593,exception,2025-03-30
SHP000521,PO00151,WH010,2023-06-18,UPS,TRK575169464,pending,2023-07-01
SHP000522,PO00126,WH009,2023-11-14,FedEx,TRK630957739,picked_up,2023-11-25
SHP000523,PO00356,WH004,2024-05-17,DB Schenker,TRK795672015,picked_up,2024-05-27
SHP000524,PO00075,WH001,2024-08-30,FedEx,TRK757366769,delivered,2024-09-09
SHP000525,PO00225,WH007,2024-01-29,Maersk,TRK656811785,delayed,2024-02-14
SHP000526,PO00205,WH010,2025-03-03,MSC,TRK962672189,in_transit,2025-03-14
SHP000527,PO00221,WH006,2025-01-16,MSC,TRK680216914,in_transit,2025-01-26
SHP000528,PO00040,WH003,2024-10-20,XPO Logistics,TRK721651927,picked_up,2024-10-30
SHP000529,PO00050,WH009,2025-09-01,MSC,TRK212536324,delayed,2025-09-21
SHP000530,PO00117,WH006,2024-04-03,CMA CGM,TRK716606071,pending,2024-04-20
SHP000531,PO00236,WH010,2025-06-15,CEVA,TRK568349279,pending,2025-07-03
SHP000532,PO00088,WH001,2025-07-07,FedEx,TRK473235986,delivered,2025-07-27
SHP000533,PO00362,WH003,2023-05-11,DHL,TRK871879492,in_transit,2023-05-25
SHP000534,PO00292,WH005,2023-02-26,Kuehne+Nagel,TRK856148124,picked_up,2023-03-16
SHP000535,PO00203,WH004,2025-07-14,XPO Logistics,TRK848619208,exception,2025-07-26
SHP000536,PO00156,WH006,2024-04-21,XPO Logistics,TRK537165399,picked_up,2024-05-12
SHP000537,PO00393,WH009,2024-10-06,CEVA,TRK156877091,exception,2024-10-09
SHP000538,PO00387,WH006,2023-09-03,CEVA,TRK168320833,delayed,2023-09-08
SHP000539,PO00212,WH003,2024-02-03,CEVA,TRK930790768,picked_up,2024-02-13
SHP000540,PO00093,WH001,2025-10-10,MSC,TRK195676548,pending,2025-10-16
SHP000541,PO00207,WH010,2025-03-04,Kuehne+Nagel,TRK847769975,delivered,2025-03-20
SHP000542,PO00071,WH006,2024-01-10,CMA CGM,TRK481346877,picked_up,2024-01-16
SHP000543,PO00363,WH007,2024-05-31,DHL,TRK298176644,in_transit,2024-06-18
SHP000544,PO00206,WH004,2024-04-09,DHL,TRK464771758,delivered,2024-04-23
SHP000545,PO00385,WH002,2025-12-08,FedEx,TRK750858728,pending,2025-12-19
SHP000546,PO00286,WH001,2025-02-03,Maersk,TRK101856387,delayed,2025-02-09
SHP000547,PO00007,WH001,2024-10-31,CMA CGM,TRK129692778,delayed,2024-11-15
SHP000548,PO00289,WH006,2023-05-23,UPS,TRK783417080,delayed,2023-05-31
SHP000549,PO00256,WH003,2024-03-23,DHL,TRK833560098,picked_up,2024-04-06
SHP000550,PO00308,WH006,2023-12-29,Maersk,TRK644740074,picked_up,2024-01-15
SHP000551,PO00228,WH001,2023-03-21,DHL,TRK966729585,in_transit,2023-04-10
SHP000552,PO00150,WH002,2024-12-15,CEVA,TRK656723166,picked_up,2024-12-23
SHP000553,PO00052,WH008,2024-01-31,CEVA,TRK462276937,delivered,2024-02-07
SHP000554,PO00338,WH009,2025-03-07,DHL,TRK818016609,delayed,2025-03-24
SHP000555,PO00034,WH006,2024-05-19,Maersk,TRK357108928,delivered,2024-06-02
SHP000556,PO00097,WH007,2023-03-27,FedEx,TRK615850694,exception,2023-04-10
SHP000557,PO00363,WH010,2023-07-22,DHL,TRK812441226,exception,2023-08-10
SHP000558,PO00165,WH009,2025-12-25,Kuehne+Nagel,TRK912740386,delayed,2026-01-13
SHP000559,PO00330,WH004,2024-08-01,Maersk,TRK580933864,picked_up,2024-08-14
SHP000560,PO00150,WH007,2025-04-07,Kuehne+Nagel,TRK188464399,delivered,2025-04-23
SHP000561,PO00013,WH008,2023-08-02,XPO Logistics,TRK619803232,delayed,2023-08-15
SHP000562,PO00200,WH005,2025-10-16,FedEx,TRK666452632,pending,2025-10-28
SHP000563,PO00097,WH002,2024-09-20,CEVA,TRK682813140,picked_up,2024-10-11
SHP000564,PO00329,WH006,2023-04-09,FedEx,TRK150688714,in_transit,2023-04-29
SHP000565,PO00198,WH004,2024-12-21,FedEx,TRK984490665,exception,2025-01-10
SHP000566,PO00223,WH009,2025-12-09,XPO Logistics,TRK498169157,exception,2025-12-17
SHP000567,PO00358,WH001,2024-03-15,DB Schenker,TRK299399647,picked_up,2024-03-21
SHP000568,PO00365,WH006,2023-05-30,DB Schenker,TRK321982099,delayed,2023-06-08
SHP000569,PO00328,WH010,2023-02-01,Kuehne+Nagel,TRK321222848,exception,2023-02-05
SHP000570,PO00060,WH005,2023-01-10,MSC,TRK290114308,delivered,2023-01-20
SHP000571,PO00117,WH006,2025-04-03,Maersk,TRK252116381,delayed,2025-04-07
SHP000572,PO00127,WH010,2024-06-12,CEVA,TRK862541837,exception,2024-06-28
SHP000573,PO00159,WH004,2024-07-12,FedEx,TRK546555658,delivered,2024-07-28
SHP000574,PO00194,WH005,2024-01-24,CMA CGM,TRK744384283,pending,2024-02-11
SHP000575,PO00321,WH007,2023-03-27,Maersk,TRK811851133,exception,2023-04-13
SHP000576,PO00115,WH002,2023-08-23,Maersk,TRK949533843,delivered,2023-08-29
SHP000577,PO00035,WH003,2024-11-01,CMA CGM,TRK831116823,exception,2024-11-09
SHP000578,PO00356,WH007,2024-08-06,CMA CGM,TRK405699476,delayed,2024-08-26
SHP000579,PO00134,WH002,2023-09-02,UPS,TRK192881954,delayed,2023-09-17
SHP000580,PO00255,WH004,2023-09-18,FedEx,TRK603538733,delivered,2023-10-07
SHP000581,PO00056,WH002,2024-04-13,Kuehne+Nagel,TRK298082098,pending,2024-04-17
SHP000582,PO00391,WH002,2024-05-10,CEVA,TRK498252883,delivered,2024-05-26
SHP000583,PO00379,WH003,2025-06-24,XPO Logistics,TRK923334686,picked_up,2025-06-28
SHP000584,PO00394,WH004,2024-10-13,CEVA,TRK115259090,picked_up,2024-10-17
SHP000585,PO00175,WH005,2023-12-26,DB Schenker,TRK315445536,exception,2024-01-09
SHP000586,PO00029,WH007,2025-02-17,CMA CGM,TRK642878064,pending,2025-02-24
SHP000587,PO00116,WH003,2024-02-03,DB Schenker,TRK127176053,delivered,2024-02-16
SHP000588,PO00036,WH004,2025-12-18,XPO Logistics,TRK272977662,picked_up,2025-12-30
SHP000589,PO00281,WH006,2023-04-27,DHL,TRK540152727,delayed,2023-05-03
SHP000590,PO00274,WH001,2023-12-14,MSC,TRK141263927,picked_up,2023-12-27
SHP000591,PO00054,WH004,2023-01-13,FedEx,TRK704207045,pending,2023-01-28
SHP000592,PO00199,WH010,2023-09-03,FedEx,TRK705202509,delayed,2023-09-13
SHP000593,PO00038,WH001,2025-09-02,Kuehne+Nagel,TRK403298186,exception,2025-09-23
SHP000594,PO00316,WH007,2025-07-09,DB Schenker,TRK757783372,in_transit,2025-07-19
SHP000595,PO00177,WH008,2025-09-08,DB Schenker,TRK676013819,in_transit,2025-09-15
SHP000596,PO00115,WH003,2024-08-10,Kuehne+Nagel,TRK376178153,picked_up,2024-08-18
SHP000597,PO00189,WH001,2025-06-03,Maersk,TRK145692965,delivered,2025-06-15
SHP000598,PO00211,WH009,2024-04-09,Maersk,TRK772699154,in_transit,2024-04-24
SHP000599,PO00107,WH007,2025-05-12,DB Schenker,TRK887535182,delivered,2025-05-28
SHP000600,PO00228,WH007,2025-08-07,MSC,TRK450051628,exception,2025-08-21
